date,description,amount,type,category,explanation
2023-02-10,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-20.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2023-03-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-03-12,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-100.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2023-04-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-04-15,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-35.0,Withdrawal,Education,Purchase of revision guides from Popular Bookstore.
2023-05-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-05-20,DEBIT PURCHASE xx-0411 AMAZON SG,-80.0,Withdrawal,Education,Purchase of educational software from Amazon SG.
2023-06-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-06-10,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-120.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2023-07-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-07-15,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-15.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2023-08-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-08-20,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-90.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2023-09-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-09-15,DEBIT PURCHASE xx-0411 AMAZON SG,-60.0,Withdrawal,Education,Purchase of educational software from Amazon SG.
2023-10-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-10-10,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-25.0,Withdrawal,Education,Purchase of revision guides from Popular Bookstore.
2023-11-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-11-15,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-110.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2023-12-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-12-20,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2024-01-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-01-15,DEBIT PURCHASE xx-0411 AMAZON SG,-70.0,Withdrawal,Education,Purchase of textbooks for university from Amazon SG.
2024-02-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-02-10,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-20.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2024-03-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-03-12,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-100.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2024-04-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-04-15,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-35.0,Withdrawal,Education,Purchase of revision guides from Popular Bookstore.
2024-05-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-05-20,DEBIT PURCHASE xx-0411 AMAZON SG,-80.0,Withdrawal,Education,Purchase of educational software from Amazon SG.
2024-06-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-06-10,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-120.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2024-07-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-07-15,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-15.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2024-08-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-08-20,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-90.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2024-09-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-09-15,DEBIT PURCHASE xx-0411 AMAZON SG,-60.0,Withdrawal,Education,Purchase of educational software from Amazon SG.
2024-10-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-10-10,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-25.0,Withdrawal,Education,Purchase of revision guides from Popular Bookstore.
2024-11-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-11-15,DEBIT PURCHASE xx-0411 KINOKUNIYA SINGAPORE,-110.0,Withdrawal,Education,Purchase of textbooks from Kinokuniya Bookstore.
2024-12-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2024-12-20,FAST PAYMENT TO xx-0411 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Purchase of stationery from Popular Bookstore.
2022-01-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-01-15,DEBIT PURCHASE xx-0411 AMAZON TEXTBOOKS,-75.0,Withdrawal,Education,Purchased textbooks from Amazon.
2022-02-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-02-20,DEBIT PURCHASE xx-0411 KINOKUNIYA BOOKSTORE,-35.0,Withdrawal,Education,Purchased study materials from Kinokuniya Bookstore.
2022-03-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-03-10,DEBIT PURCHASE xx-0411 C++ PROGRAMMING GUIDE,-40.0,Withdrawal,Education,Purchased a C++ Programming Guide for academic use.
2022-04-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-04-15,DEBIT PURCHASE xx-0411 CHEMISTRY TEXTBOOK,-60.0,Withdrawal,Education,Purchased a chemistry textbook for academic use.
2022-05-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-05-10,DEBIT PURCHASE xx-0411 CALCULUS TEXTBOOK,-80.0,Withdrawal,Education,Purchased a Calculus textbook for academic use.
2022-06-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-06-15,DEBIT PURCHASE xx-0411 PHYSICS TEXTBOOK,-65.0,Withdrawal,Education,Purchased a Physics textbook for academic use.
2022-07-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-07-20,DEBIT PURCHASE xx-0411 JAVA PROGRAMMING GUIDE,-45.0,Withdrawal,Education,Purchased a Java Programming Guide for academic use.
2022-08-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-08-15,DEBIT PURCHASE xx-0411 PYTHON PROGRAMMING GUIDE,-50.0,Withdrawal,Education,Purchased a Python Programming Guide for academic use.
2022-09-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-09-20,DEBIT PURCHASE xx-0411 BIOLOGY TEXTBOOK,-70.0,Withdrawal,Education,Purchased a Biology textbook for academic use.
2022-10-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-10-15,DEBIT PURCHASE xx-0411 APPLIED MATHEMATICS TEXTBOOK,-85.0,Withdrawal,Education,Purchased an Applied Mathematics textbook for academic use.
2022-11-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-11-15,DEBIT PURCHASE xx-0411 STATISTICS TEXTBOOK,-90.0,Withdrawal,Education,Purchased a Statistics textbook for academic use.
2022-12-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2022-12-15,DEBIT PURCHASE xx-0411 DATA SCIENCE TEXTBOOK,-95.0,Withdrawal,Education,Purchased a Data Science textbook for academic use.
2023-01-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-01-15,DEBIT PURCHASE xx-0411 MACHINE LEARNING TEXTBOOK,-100.0,Withdrawal,Education,Purchased a Machine Learning textbook for academic use.
2023-02-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-02-20,DEBIT PURCHASE xx-0411 DEEP LEARNING TEXTBOOK,-105.0,Withdrawal,Education,Purchased a Deep Learning textbook for academic use.
2023-03-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-03-10,DEBIT PURCHASE xx-0411 ARTIFICIAL INTELLIGENCE TEXTBOOK,-110.0,Withdrawal,Education,Purchased an Artificial Intelligence textbook for academic use.
2023-04-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-04-15,DEBIT PURCHASE xx-0411 COMPUTER SCIENCE TEXTBOOK,-115.0,Withdrawal,Education,Purchased a Computer Science textbook for academic use.
2023-05-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-05-10,DEBIT PURCHASE xx-0411 SOFTWARE ENGINEERING TEXTBOOK,-120.0,Withdrawal,Education,Purchased a Software Engineering textbook for academic use.
2023-06-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-06-15,DEBIT PURCHASE xx-0411 NETWORK SECURITY TEXTBOOK,-125.0,Withdrawal,Education,Purchased a Network Security textbook for academic use.
2023-07-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-07-20,DEBIT PURCHASE xx-0411 DATABASE SYSTEMS TEXTBOOK,-130.0,Withdrawal,Education,Purchased a Database Systems textbook for academic use.
2023-08-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-08-15,DEBIT PURCHASE xx-0411 OPERATING SYSTEMS TEXTBOOK,-135.0,Withdrawal,Education,Purchased an Operating Systems textbook for academic use.
2023-09-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-09-20,DEBIT PURCHASE xx-0411 ALGORITHMS TEXTBOOK,-140.0,Withdrawal,Education,Purchased an Algorithms textbook for academic use.
2023-10-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-10-15,DEBIT PURCHASE xx-0411 DATA STRUCTURES TEXTBOOK,-145.0,Withdrawal,Education,Purchased a Data Structures textbook for academic use.
2023-11-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-11-15,DEBIT PURCHASE xx-0411 WEB DEVELOPMENT TEXTBOOK,-150.0,Withdrawal,Education,Purchased a Web Development textbook for academic use.
2023-12-01,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Tuition fee payment for National University.
2023-12-15,DEBIT PURCHASE xx-0411 MOBILE APPLICATION DEVELOPMENT TEXTBOOK,-155.0,Withdrawal,Education,Purchased a Mobile Application Development textbook for academic use.
2022-01-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-01-15,DEBIT PURCHASE AT POPULAR BOOKSTORE,-50.0,Withdrawal,Education,Payment for textbooks at Popular Bookstore.
2022-02-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-02-20,DEBIT PURCHASE AT KINOKUNIYA,-75.0,Withdrawal,Education,Payment for academic books at Kinokuniya.
2022-03-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-03-15,DEBIT PURCHASE AT AMAZON,-35.0,Withdrawal,Education,Payment for educational materials on Amazon.
2022-04-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-04-20,DEBIT PURCHASE AT COURSERA,-49.0,Withdrawal,Education,Payment for online courses on Coursera.
2022-05-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-05-15,DEBIT PURCHASE AT UDEMY,-30.0,Withdrawal,Education,Payment for online courses on Udemy.
2022-06-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-06-20,DEBIT PURCHASE AT POPULAR BOOKSTORE,-45.0,Withdrawal,Education,Payment for textbooks at Popular Bookstore.
2022-07-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-07-15,DEBIT PURCHASE AT KINOKUNIYA,-60.0,Withdrawal,Education,Payment for academic books at Kinokuniya.
2022-08-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-08-20,DEBIT PURCHASE AT AMAZON,-40.0,Withdrawal,Education,Payment for educational materials on Amazon.
2022-09-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-09-15,DEBIT PURCHASE AT COURSERA,-49.0,Withdrawal,Education,Payment for online courses on Coursera.
2022-10-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-10-15,DEBIT PURCHASE AT UDEMY,-30.0,Withdrawal,Education,Payment for online courses on Udemy.
2022-11-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-11-20,DEBIT PURCHASE AT POPULAR BOOKSTORE,-55.0,Withdrawal,Education,Payment for textbooks at Popular Bookstore.
2022-12-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2022-12-15,DEBIT PURCHASE AT KINOKUNIYA,-65.0,Withdrawal,Education,Payment for academic books at Kinokuniya.
2023-01-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-01-15,DEBIT PURCHASE AT AMAZON,-45.0,Withdrawal,Education,Payment for educational materials on Amazon.
2023-02-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-02-15,DEBIT PURCHASE AT COURSERA,-49.0,Withdrawal,Education,Payment for online courses on Coursera.
2023-03-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-03-15,DEBIT PURCHASE AT UDEMY,-30.0,Withdrawal,Education,Payment for online courses on Udemy.
2023-04-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-04-20,DEBIT PURCHASE AT POPULAR BOOKSTORE,-60.0,Withdrawal,Education,Payment for textbooks at Popular Bookstore.
2023-05-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-05-15,DEBIT PURCHASE AT KINOKUNIYA,-70.0,Withdrawal,Education,Payment for academic books at Kinokuniya.
2023-06-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-06-20,DEBIT PURCHASE AT AMAZON,-50.0,Withdrawal,Education,Payment for educational materials on Amazon.
2023-07-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-07-15,DEBIT PURCHASE AT COURSERA,-49.0,Withdrawal,Education,Payment for online courses on Coursera.
2023-08-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-08-15,DEBIT PURCHASE AT UDEMY,-30.0,Withdrawal,Education,Payment for online courses on Udemy.
2023-09-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-09-20,DEBIT PURCHASE AT POPULAR BOOKSTORE,-65.0,Withdrawal,Education,Payment for textbooks at Popular Bookstore.
2023-10-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-10-15,DEBIT PURCHASE AT KINOKUNIYA,-75.0,Withdrawal,Education,Payment for academic books at Kinokuniya.
2023-11-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-11-20,DEBIT PURCHASE AT AMAZON,-55.0,Withdrawal,Education,Payment for educational materials on Amazon.
2023-12-01,GIRO PAYMENT TO NATIONAL UNIVERSITY,-1000.0,Withdrawal,Education,Payment for university tuition fees.
2023-12-15,DEBIT PURCHASE AT COURSERA,-49.0,Withdrawal,Education,Payment for online courses on Coursera.
2023-01-05,DEBIT PURCHASE 04/01/23 xx-0224 AMAZON,-50.0,Withdrawal,Education,Purchased textbooks for the new semester on Amazon.
2023-02-01,GIRO 31/01/23 xx-0556 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2023-02-25,DEBIT PURCHASE 24/02/23 xx-0311 KINOKUNIYA,-45.9,Withdrawal,Education,Bought additional reference books from Kinokuniya.
2023-03-10,FAST PAYMENT 09/03/23 xx-0678 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2023-04-01,GIRO 31/03/23 xx-0789 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2023-05-15,DEBIT PURCHASE 14/05/23 xx-0890 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Bought stationery items from Popular Bookstore.
2023-06-20,FAST PAYMENT 19/06/23 xx-1001 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2023-07-01,GIRO 30/06/23 xx-1112 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2023-08-10,DEBIT PURCHASE 09/08/23 xx-1233 AMAZON,-60.0,Withdrawal,Education,Purchased textbooks for the new semester on Amazon.
2023-09-01,GIRO 31/08/23 xx-1344 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2023-10-15,DEBIT PURCHASE 14/10/23 xx-1455 KINOKUNIYA,-35.9,Withdrawal,Education,Bought additional reference books from Kinokuniya.
2023-11-20,FAST PAYMENT 19/11/23 xx-1566 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2023-12-01,GIRO 30/11/23 xx-1677 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2023-12-15,DEBIT PURCHASE 14/12/23 xx-1788 POPULAR BOOKSTORE,-40.0,Withdrawal,Education,Bought stationery items from Popular Bookstore.
2024-01-05,DEBIT PURCHASE 04/01/24 xx-1899 AMAZON,-70.0,Withdrawal,Education,Purchased textbooks for the new semester on Amazon.
2024-02-01,GIRO 31/01/24 xx-2000 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2024-02-25,DEBIT PURCHASE 24/02/24 xx-2111 KINOKUNIYA,-50.9,Withdrawal,Education,Bought additional reference books from Kinokuniya.
2024-03-10,FAST PAYMENT 09/03/24 xx-2222 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2024-04-01,GIRO 31/03/24 xx-2333 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2024-05-15,DEBIT PURCHASE 14/05/24 xx-2444 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Bought stationery items from Popular Bookstore.
2024-06-20,FAST PAYMENT 19/06/24 xx-2555 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2024-07-01,GIRO 30/06/24 xx-2666 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2024-08-10,DEBIT PURCHASE 09/08/24 xx-2777 AMAZON,-60.0,Withdrawal,Education,Purchased textbooks for the new semester on Amazon.
2024-09-01,GIRO 31/08/24 xx-2888 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2024-10-15,DEBIT PURCHASE 14/10/24 xx-2999 KINOKUNIYA,-35.9,Withdrawal,Education,Bought additional reference books from Kinokuniya.
2024-11-20,FAST PAYMENT 19/11/24 xx-3100 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
2024-12-01,GIRO 30/11/24 xx-3211 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2024-12-15,DEBIT PURCHASE 14/12/24 xx-3322 POPULAR BOOKSTORE,-40.0,Withdrawal,Education,Bought stationery items from Popular Bookstore.
2025-01-05,DEBIT PURCHASE 04/01/25 xx-3433 AMAZON,-70.0,Withdrawal,Education,Purchased textbooks for the new semester on Amazon.
2025-02-01,GIRO 31/01/25 xx-3544 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Paid tuition fees for the semester.
2025-02-25,DEBIT PURCHASE 24/02/25 xx-3655 KINOKUNIYA,-50.9,Withdrawal,Education,Bought additional reference books from Kinokuniya.
2025-03-10,FAST PAYMENT 09/03/25 xx-3766 TUITION TEACHER,-200.0,Withdrawal,Education,Paid for a month's tuition fees.
