date,description,amount,type,category,explanation
2023-12-03,PAYMENT/TRANSFER via PayNow-DBSS from JAISWAL SOURAB OTHR JAISWAL SOURABH RAJ,14.0,Deposit,Transfers,This transaction is a transfer of funds received from Jaiswal Sourab via PayNow-DBSS.
2023-12-03,PAYMENT/TRANSFER via PayNow-DBSS from ELYSE TAN XUAN OTHR ELYSE TAN XUANLE,14.01,Deposit,Transfers,This is a transfer received from Elyse Tan Xuan via PayNow-DBSS.
2023-12-03,FAST PAYMENT via PayNow-Mobile to Yuh Xuen OTHR - OTHR,-15.5,Withdrawal,Transfers,This transaction represents a transfer of funds to Yuh Xuen via PayNow-Mobile.
2023-12-03,PAYMENT/TRANSFER via PayNow-DBSS from WO PUI YIN OTHR WO PUI YIN,14.0,Deposit,Transfers,This is a transfer received from WO PUI YIN via PayNow-DBSS.
2023-12-03,FUND TRANSFER via PayNow-QR Code to QFPAY SINGAPORE OTHR - QF2023120302005124,-6.8,Withdrawal,Transfers,This transaction represents a fund transfer made via PayNow-QR Code to QFPAY in Singapore.
2023-12-05,FUND TRANSFER via PayNow-QR Code to QFPAY SINGAPORE OTHR - QF2023120502005132,-6.7,Withdrawal,Transfers,This transaction is a fund transfer made via PayNow-QR Code to QFPAY in Singapore.
2023-12-05,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-10.0,Withdrawal,Transfers,"This transaction is a transfer of funds to GrabPay, likely for future use in transport or food services."
2023-12-05,DEBIT PURCHASE 04/12/23 xx-0411 CHEERS - THE CENTRAL S,-14.9,Withdrawal,Food,Payment for a meal at Cheers - The Central S.
2023-12-05,FAST PAYMENT via PayNow-Mobile to teasel OTHR - OTHR,-2.94,Withdrawal,Transfers,"This transaction is a transfer of funds made via PayNow-Mobile to another party, teasel."
2023-12-06,PAYMENT/TRANSFER via PayNow-DBSS from FELICIA GOH SI OTHR FELICIA GOH SI YING,19.7,Deposit,Transfers,This is a transfer received from Felicia Goh Si Ying via PayNow-DBSS.
2023-12-06,CREDIT PURCHASE 04/12/23 xx-0411 MCDONALD'S (MPS) S,-4.75,Withdrawal,Food,Payment for a meal at McDonald's.
2023-12-06,DEBIT PURCHASE 04/12/23 xx-0411 DIN TAI FUNG - PLAZA SINGS,-44.07,Withdrawal,Food,Payment for a meal at Din Tai Fung restaurant in Plaza Singapura.
2023-12-07,PAYMENT/TRANSFER via PayNow-DBSS from ELYSE TAN XUAN OTHR ELYSE TAN XUANLE,13.2,Deposit,Transfers,This is a transfer received from Elyse Tan Xuan via PayNow-DBSS.
2023-12-08,IBG GIRO INSU 068606931052 Singapore Life Ltd AVI11946703/068606931052,-15.48,Withdrawal,Health,This transaction is a payment for a health insurance policy with Singapore Life Ltd.
2023-12-10,CREDIT PURCHASE 07/12/23 xx-0411 SHERLOCK'S CAFE N BIST S,-26.4,Withdrawal,Food,Payment for a meal at Sherlock's Cafe N Bist.
2023-12-11,FUND TRANSFER via PayNow-QR Code to BUKIT BATOK DRIV OTHR - QR231185476BBDC6E4,-30.0,Withdrawal,Transfers,This transaction represents a fund transfer made via PayNow-QR Code to a recipient at Bukit Batok Driv.
2023-12-11,FAST PAYMENT via PayNow-Mobile to Kate OTHR - OTHR,-24.45,Withdrawal,Transfers,This transaction is a transfer of funds to Kate via PayNow-Mobile.
2023-12-12,FAST PAYMENT via PayNow-Mobile to DOO.YX OTHR - OTHR,-3.2,Withdrawal,Transfers,This transaction is a fast payment made through PayNow-Mobile to another individual or entity.
2023-12-13,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-50.0,Withdrawal,Transfers,"This transaction is a transfer of funds to GrabPay, likely for future use in transport or other services offered by Grab."
2023-12-13,PAYMENT/TRANSFER via PayNow-DBSS from KASFUL' AZHIM OTHR PayNow Transfer,10.9,Deposit,Transfers,This is a transfer received from KASFUL' AZHIM via PayNow-DBSS.
2023-12-13,PAYMENT/TRANSFER via PayNow-DBSS from DOO YI XIANG OTHR PayNow Transfer,13.0,Deposit,Transfers,Received a transfer from Doo Yi Xiang via PayNow-DBSS.
2023-12-13,PAYMENT/TRANSFER via PayNow-DBSS from KHOO WEI KIAT OTHR PayNow Transfer,11.0,Deposit,Transfers,This is a transfer received from KHOO WEI KIAT via PayNow-DBSS.
2023-12-15,FAST PAYMENT via PayNow-Mobile to Joel Chiam OTHR - OTHR,-13.05,Withdrawal,Transfers,This is a transfer of funds made via PayNow-Mobile to an individual named Joel Chiam.
2023-12-16,PAYMENT/TRANSFER via PayNow-DBSS from NICOLE LEE SIY OTHR PayNow Transfer,6.0,Deposit,Transfers,This is a transfer received from Nicole Lee via PayNow-DBSS.
2023-12-16,PAYMENT/TRANSFER via PayNow-DBSS from NICOLE LEE SIY OTHR PayNow Transfer,1.3,Deposit,Transfers,This is a transfer received from Nicole Lee via PayNow-DBSS.
2023-12-16,FAST PAYMENT via PayNow-Mobile to Abyssmalfate OTHR - OTHR,-5.22,Withdrawal,Transfers,This transaction is a fast payment made through PayNow-Mobile to a user named Abyssmalfate.
2023-12-16,FUND TRANSFER via PayNow-Mobile to POEY XUAN RU OTHR - OTHR,-12.5,Withdrawal,Transfers,This transaction represents a fund transfer to Poey Xuan Ru via PayNow-Mobile.
2023-12-16,FUND TRANSFER via PayNow-QR Code to THE RAMEN STALL OTHR - QQ03012023121648712755,-102.5,Withdrawal,Food,Payment for food at The Ramen Stall via PayNow-QR Code.
2023-12-16,PAYMENT/TRANSFER via PayNow-DBSS from NICOLE LEE SIY OTHR PayNow Transfer,35.3,Deposit,Transfers,This is a transfer received from Nicole Lee via PayNow-DBSS.
2023-12-16,FUND TRANSFER via PayNow-Mobile from POEY XUAN RU OTHR - GPay-,35.3,Deposit,Transfers,"This is a fund transfer received via PayNow-Mobile from Poey Xuan Ru, possibly a repayment or a shared expense."
2023-12-17,CREDIT PURCHASE 15/12/23 xx-0411 7-ELEVEN-SENTOSA COVE S,-6.85,Withdrawal,Groceries,"Purchase made at 7-Eleven, which is a convenience store, likely for groceries or small items."
2023-12-17,DEBIT PURCHASE 15/12/23 xx-6482 EZ-LINK APP S,-10.0,Withdrawal,Transport,This is a payment for a transport service made through the EZ-Link app.
2023-12-17,DEBIT PURCHASE 15/12/23 xx-6482 EZ-LINK APP S,-10.0,Withdrawal,Transport,"This is a withdrawal transaction for a transport expense, specifically a payment made through the EZ-Link app."
2023-12-18,DEBIT PURCHASE 16/12/23 xx-0411 MCDONALD'S (CS) S,-4.0,Withdrawal,Food,Payment for a meal at McDonald's.
2023-12-18,CREDIT PURCHASE 16/12/23 xx-0411 DAISO JAPAN - PS S,-2.16,Withdrawal,Shopping,Purchase made at Daiso Japan store.
2023-12-18,IBG GIRO SUPP SAF IMPREST ACCOUNT -,258.06,Withdrawal,Transfers,This transaction appears to be a transfer of funds to a supplementary SAF imprest account via IBG GIRO.
2023-12-19,DEBIT PURCHASE 16/12/23 xx-0411 7707 TYPO PLAZA SINGAP S,-11.99,Withdrawal,Shopping,Purchase made at TYPO store in Plaza Singapura.
2023-12-21,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-12.0,Withdrawal,Transfers,"This transaction is a transfer of funds to GrabPay, likely for future use in transport or food services."
2023-12-21,FAST PAYMENT via PayNow-Mobile to sonia OTHR - OTHR,-20.75,Withdrawal,Transfers,Money transferred to Sonia via PayNow-Mobile.
2023-12-21,FAST PAYMENT via PayNow-Mobile to druenoki OTHR - OTHR,-6.5,Withdrawal,Transfers,"This transaction is a transfer of funds to another individual, druenoki, using the PayNow-Mobile service."
2023-12-22,DEBIT PURCHASE 20/12/23 xx-0411 MCDONALD'S (KAL) S,-6.8,Withdrawal,Food,"This transaction is a debit purchase made at McDonald's, which falls under the category of Food."
2023-12-23,PAYMENT/TRANSFER via PayNow-DBSS from ALYANNA YSABEL OTHR PayNow Transfer,24.43,Deposit,Transfers,This is a transfer received from Alyanna Ysabel via PayNow-DBSS.
2023-12-24,DEBIT PURCHASE 22/12/23 xx-0411 MUSASHI NIKU NIKU DO S,-67.36,Withdrawal,Food,Payment for a meal at Musashi Niku Niku Do S restaurant.
2023-12-24,FUND TRANSFER via PayNow-QR Code to ADDPETIZER PTE. OTHR - Creators Fair,-3.6,Withdrawal,Food,Payment for food at Creators Fair through PayNow-QR Code to ADDPETIZER PTE.
2023-12-24,PAYMENT/TRANSFER via PayNow-DBSS from ELYSE TAN XUAN OTHR Damn Thats a Splurge,49.6,Deposit,Transfers,This is a transfer received from Elyse Tan Xuan via PayNow-DBSS. The description suggests it might be a repayment or a shared expense.
2023-12-24,FAST PAYMENT via PayNow-UEN to THE MIND CAFE OTHR - NA,-42.53,Withdrawal,Entertainment,"Payment made to The Mind Cafe, likely for a board game session or related entertainment services."
2023-12-25,DEBIT PURCHASE 22/12/23 xx-0411 YIN S,-53.5,Withdrawal,Miscellaneous,"Purchase from a vendor named YIN S. The exact nature of the purchase is not specified, hence categorized as Miscellaneous."
2023-12-26,DEBIT PURCHASE 24/12/23 xx-0411 AKI SUSHI AND GRI S,-9.8,Withdrawal,Food,Payment for a meal at Aki Sushi and Grill.
2023-12-27,CREDIT PURCHASE 26/12/23 xx-0411 NTUC FP-CITY SQUA S,-24.15,Withdrawal,Groceries,"This is a debit purchase from NTUC FairPrice at City Square, which is a supermarket chain, indicating a grocery shopping transaction."
2023-12-28,PAYMENT/TRANSFER via PayNow-DBSS from LIM SHENG XIAN OTHR LIM SHENG XIANG DARR,13.0,Deposit,Transfers,This is a transfer received from Lim Sheng Xian via PayNow-DBSS.
2023-12-28,DEBIT PURCHASE 26/12/23 xx-6482 EZ-LINK APP S,-20.0,Withdrawal,Transport,"This transaction is a withdrawal for a transport-related expense, specifically for a purchase made through the EZ-Link app."
2023-12-28,PAYMENT/TRANSFER via PayNow-DBSS from LONG WEN MIN OTHR LONG WEN MIN,12.0,Deposit,Transfers,This transaction is a transfer of funds received from Long Wen Min via PayNow-DBSS.
2023-12-28,PAYMENT/TRANSFER via PayNow-DBSS from ANNA CHAN KAI OTHR Dinner,12.0,Deposit,Food,This is a payment received from Anna Chan via PayNow-DBS for a dinner expense.
2023-12-29,DEBIT PURCHASE 26/12/23 xx-0411 DON DON DONKI - CITY SQ S,-63.88,Withdrawal,Groceries,Purchase of groceries from DON DON DONKI - CITY SQ S.
2023-12-29,PAYMENT/TRANSFER via PayNow-DBSS from LIM YONG KANG OTHR LIM YONG KANG MARCUS,12.0,Deposit,Transfers,This is a transfer received from Lim Yong Kang Marcus via PayNow-DBSS.
2023-12-30,DEBIT PURCHASE 28/12/23 xx-0411 NET*SHEER TECHNOLOGY PL S,-7.9,Withdrawal,Shopping,Purchase of a product or service from Sheer Technology.
2023-12-30,FAST PAYMENT via PayNow-Mobile to Joel Chiam OTHR - OTHR,-19.5,Withdrawal,Transfers,This transaction is a transfer of funds to Joel Chiam via PayNow-Mobile.
2023-12-30,FAST PAYMENT via PayNow-Mobile to Aly OTHR - OTHR,-27.0,Withdrawal,Transfers,This transaction is a fast payment made through PayNow-Mobile to a person named Aly.
2023-12-30,NETS QR 90376701 NETS QR PURCHASE MALA XIANG GUO,-28.9,Withdrawal,Food,Payment for a meal at Mala Xiang Guo using NETS QR.
2023-12-30,PAYMENT/TRANSFER via PayNow-DBSS from ELYSE TAN XUAN OTHR Send back 83182629,5.78,Deposit,Transfers,This is a transfer received from Elyse Tan Xuan via PayNow-DBSS.
2023-12-30,PAYMENT/TRANSFER via PayNow-DBSS from ALYANNA YSABEL OTHR Send back 92437375,5.78,Deposit,Transfers,This is a transfer received from Alyanna Ysabel via PayNow-DBSS.
2023-12-30,FUND TRANSFER via PayNow-Mobile from HUANG JIA CAN OTHR - GPay-,5.78,Deposit,Transfers,"This transaction is a fund transfer from Huang Jia Can via PayNow-Mobile, which is categorized as a deposit under transfers."
2023-12-30,INTEREST CREDIT,1.71,Deposit,Income,This is an interest payment credited to the account.
2024-08-01,DEBIT PURCHASE 30/07/24 xx-6482 EZ-LINK APP S,-20.0,Withdrawal,Transport,"This is a withdrawal for a transport expense, specifically for a purchase made on the EZ-Link app, which is used for public transportation."
2024-08-01,PAYMENT/TRANSFER via PayNow-UOVB from WONG MEI YIN OTHR WONG MEI YIN,500.0,Deposit,Transfers,This is a transfer received from Wong Mei Yin via PayNow-UOVB.
2024-08-05,CREDIT PURCHASE 04/08/24 xx-0411 FP XTRA VIVO S,-51.28,Withdrawal,Bills,This is a bill payment for a service named FP XTRA VIVO S.
2024-08-05,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000000767724218,-5.5,Withdrawal,Miscellaneous,"This transaction is a payment made via PayNow to QFPAY Singapore, which doesn't fit into any of the specific categories provided. Therefore, it is labeled as miscellaneous."
2024-08-05,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000002067724218,-9.0,Withdrawal,Miscellaneous,"This transaction represents a payment made through PayNow-UEN to QFPAY SINGAPORE, which doesn't fall under any specific category like Food, Groceries, etc. Hence, it is categorized as Miscellaneous."
2024-08-05,PAYMENT/TRANSFER via PayNow-UOVB from WONG MEI YIN OTHR Transfer - Mobile,50.0,Deposit,Transfers,This is a transfer received from Wong Mei Yin via PayNow-UOVB.
2024-08-06,FUND TRANSFER via PayNow-Mobile from VISHWANATH ANN OTHR - OTHR,2.0,Deposit,Transfers,This is a fund transfer received via PayNow-Mobile from Vishwanath Ann.
2024-08-06,FUND TRANSFER via PayNow-Mobile from PATIL KAVERI V OTHR - OTHR,2.01,Deposit,Transfers,This is a fund transfer received via PayNow-Mobile from Patil Kaveri V.
2024-08-06,FAST PAYMENT via PayNow-Mobile to Samuel Ong OTHR - GPay-,-18.33,Withdrawal,Transfers,This transaction is a transfer of funds to Samuel Ong via PayNow-Mobile using Google Pay.
2024-08-06,PAYMENT/TRANSFER via PayNow-DBSS from ALYANNA YSABEL OTHR Send back 92437375,1.93,Deposit,Transfers,This is a transfer received from Alyanna Ysabel via PayNow-DBSS.
2024-08-06,NETS QR 91743801 NETS QR PURCHASE SIN KEE,-4.8,Withdrawal,Food,This is a payment for a food purchase made through NETS QR.
2024-08-06,PAYMENT/TRANSFER via PayNow-UOVB from WONG MEI YIN OTHR ang bao total,208.0,Deposit,Transfers,"This is a transfer received from Wong Mei Yin via PayNow-UOVB, possibly as a gift (""ang bao"" is a term for a monetary gift in Chinese culture)."
2024-08-06,PAYMENT/TRANSFER via PayNow-DBSS from ELYSE TAN YUEX OTHR PayNow Transfer,32.6,Deposit,Transfers,This is a transfer received from Elyse Tan via PayNow-DBSS.
2024-08-07,DEBIT PURCHASE 04/08/24 xx-0411 SPF EQDLQ00100566 S,-50.0,Withdrawal,Shopping,"This transaction is a debit purchase, indicating a withdrawal of funds. The specific details are not clear, but it appears to be a shopping-related expense."
2024-08-07,CREDIT PURCHASE 04/08/24 xx-0411 UNA UNA S,-55.87,Withdrawal,Miscellaneous,"This transaction is a debit purchase, which means money was withdrawn from the account. The description does not provide enough information to categorize it more specifically, so it is labeled as Miscellaneous."
2024-08-07,NETS QR 23016847 NETS QR PURCHASE GREENS & GRAINS,-6.8,Withdrawal,Groceries,Purchase of groceries from Greens & Grains using NETS QR.
2024-08-08,CREDIT PURCHASE 07/08/24 xx-0411 DABBA STREET - ONE@KENT RS,-10.8,Withdrawal,Food,Payment for a food purchase at Dabba Street - One@Kent RS.
2024-08-08,DEBIT PURCHASE 05/08/24 xx-0411 YQUEUE S,-8.0,Withdrawal,Miscellaneous,"Payment for a service or product from YQUEUE S. The exact nature of the purchase is not specified, hence it is categorized under Miscellaneous."
2024-08-08,NETS QR 89059401 NETS QR PURCHASE FISH SOUP,-10.6,Withdrawal,Food,Payment for fish soup purchased via NETS QR.
2024-08-08,PAYMENT/TRANSFER via PayNow-DBSS from NICOLE LEE SIY OTHR PayNow Transfer,5.3,Deposit,Transfers,This is a transfer received from Nicole Lee via PayNow-DBSS.
2024-08-08,IBG GIRO INSU 068606931052 Singapore Life Ltd AVI12985283/068606931052,-15.49,Withdrawal,Health,This is a payment for a health insurance premium to Singapore Life Ltd.
2024-08-08,PAYMENT/TRANSFER via PayNow-DBSS from NICOLE LEE SIY OTHR PayNow Transfer,7.2,Deposit,Transfers,This is a transfer received from Nicole Lee via PayNow-DBSS.
2024-08-09,DEBIT PURCHASE 07/08/24 xx-0411 YQUEUE S,-9.0,Withdrawal,Miscellaneous,"This transaction is a debit purchase from a vendor named YQUEUE S. The category is not clear from the description, so it is labeled as Miscellaneous."
2024-08-10,DEBIT PURCHASE 08/08/24 xx-0411 WAFFLETOWN S,-14.4,Withdrawal,Food,Payment for a meal at Waffletown.
2024-08-11,FAST PAYMENT via PayNow-Mobile to Samuel Ong OTHR - GPay-,-25.5,Withdrawal,Transfers,This transaction is a transfer of funds to Samuel Ong via PayNow-Mobile using Google Pay.
2024-08-11,FAST PAYMENT via PayNow-Mobile to Aly OTHR - GPay-,-3.5,Withdrawal,Transfers,"This is a transfer of funds made via mobile payment to another individual, Aly, using Google Pay."
2024-08-12,DEBIT PURCHASE 10/08/24 xx-0411 TIMBRE+ #01-41 S,-11.0,Withdrawal,Shopping,Purchase made at Timbre+ store.
2024-08-12,CREDIT PURCHASE 08/08/24 xx-0411 YQUEUE S,-7.0,Withdrawal,Miscellaneous,"This transaction is a debit purchase from a vendor named YQUEUE S. The category is not clear from the description, so it is labeled as miscellaneous."
2024-08-12,CREDIT PURCHASE 10/08/24 xx-6482 EZ-LINK APP S,-20.0,Withdrawal,Transport,This transaction is a payment for a transport service through the EZ-Link app.
2024-08-12,DEBIT PURCHASE USD 55.64 09/08/24 xx-0411 MICROSOFT#G056309088 M,-76.33,Withdrawal,Shopping,"This is a purchase made from Microsoft, likely for software or other digital goods."
2024-08-12,NETS QR 90376701 NETS QR PURCHASE MALA XIANG GUO,-17.7,Withdrawal,Food,Payment for a meal at Mala Xiang Guo using NETS QR.
2024-08-12,FUND TRANSFER via PayNow-Mobile from POEY XUAN RU OTHR - GPay-,8.95,Deposit,Transfers,"This is a fund transfer received via PayNow-Mobile from Poey Xuan Ru, possibly through Google Pay."
2024-08-14,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000117067724226,-10.5,Withdrawal,Miscellaneous,"This transaction is a payment made through PayNow-UEN to QFPAY SINGAPORE, which doesn't fall into any specific category. Hence, it is labeled as Miscellaneous."
2024-08-14,CASH REBATE CASH REBATE,1.43,Deposit,Income,"This is a cash rebate, which is a form of income. It is a return of a portion of a purchase price by a seller to a buyer, usually on purchase of a specified quantity, or value, of goods within a specified period."
2024-08-14,NETS QR 90894701 NETS QR PURCHASE PASTA EXPRESS TD,-7.4,Withdrawal,Food,Payment for a meal at Pasta Express using NETS QR.
2024-08-15,PAYMENT/TRANSFER via PayNow-DBSS from ALYANNA YSABEL OTHR PayNow Transfer,1.0,Deposit,Transfers,This is a transfer received from Alyanna Ysabel via PayNow-DBSS.
2024-08-15,NETS QR 91743801 NETS QR PURCHASE SIN KEE,-4.8,Withdrawal,Food,This is a payment for a food purchase made using NETS QR.
2024-08-18,FUND TRANSFER via PayNow-Mobile to ROY ANG WEI HENG OTHR - OTHR,-20.3,Withdrawal,Transfers,This transaction is a fund transfer to Roy Ang Wei Heng via PayNow-Mobile.
2024-08-18,FUND TRANSFER via PayNow-Mobile to DING HONG RUEY OTHR - OTHR,-15.46,Withdrawal,Transfers,This transaction is a fund transfer to Ding Hong Ruey via PayNow-Mobile.
2024-08-19,NETS QR 91743801 NETS QR PURCHASE SIN KEE,-4.5,Withdrawal,Food,This is a payment for a food purchase made through NETS QR.
2024-08-19,NETS QR 90894701 NETS QR PURCHASE PASTA EXPRESS TD,-7.4,Withdrawal,Food,Payment for a meal at Pasta Express using NETS QR.
2024-08-19,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000307467724232,-7.0,Withdrawal,Miscellaneous,"This transaction is a payment made through PayNow-UEN to QFPAY SINGAPORE. The specific purpose of the payment is not clear from the description, hence it is categorized as Miscellaneous."
2024-08-21,CREDIT PURCHASE 12/08/24 xx-0411 STUFF'D ONE@KENT RIDGE S,-8.5,Withdrawal,Food,Payment for a meal at STUFF'D ONE@KENT RIDGE S.
2024-08-21,NETS QR 49665501 NETS QR PURCHASE SNACKS AND FRIED KUAY TEO,-4.3,Withdrawal,Food,Purchase of snacks and fried Kuay Teow using NETS QR.
2024-08-22,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000102067724235,-5.5,Withdrawal,Miscellaneous,"This transaction represents a payment made through PayNow-UEN to QFPAY SINGAPORE. The specific purpose of the payment is not clear from the description, hence it is categorized as Miscellaneous."
2024-08-22,NETS QR 88924101 NETS QR PURCHASE COOL SPOT,-1.5,Withdrawal,Food,Payment for food at Cool Spot using NETS QR.
2024-08-23,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000019267724235,-7.0,Withdrawal,Miscellaneous,"This transaction is a payment made via PayNow to QFPAY Singapore, which doesn't clearly fall under any of the specific categories like Food, Groceries, etc. Therefore, it is labeled as Miscellaneous."
2024-08-23,DEBIT PURCHASE 21/08/24 xx-5304 Grab* 8-C6VCLFNALKJTEA S,-29.6,Withdrawal,Transport,"Payment for Grab, a ride-hailing service."
2024-08-23,PAYMENT/TRANSFER via PayNow-DBSS from ALYANNA YSABEL OTHR Send back 92437375,9.5,Deposit,Transfers,This is a transfer received from Alyanna Ysabel via PayNow-DBSS.
2024-08-23,NETS QR 89059401 NETS QR PURCHASE FISH SOUP,-5.0,Withdrawal,Food,Payment for fish soup via NETS QR.
2024-08-23,FAST PAYMENT via PayNow-Mobile to vvennminn OTHR - OTHR,-11.9,Withdrawal,Transfers,"This transaction represents a transfer of funds to another individual, vvennminn, using the PayNow-Mobile service."
2024-08-24,FAST PAYMENT via PayNow-Mobile to Malcolm Or OTHR - OTHR,-3.8,Withdrawal,Transfers,This is a transfer of funds to Malcolm via PayNow-Mobile.
2024-08-24,NETS QR 91743801 NETS QR PURCHASE SIN KEE,-13.5,Withdrawal,Food,This is a payment for a food purchase made through NETS QR.
2024-08-25,NETS QR 23040836 NETS QR PURCHASE SHU XIANG,-4.5,Withdrawal,Food,Payment for food at Shu Xiang using NETS QR.
2024-08-26,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000108567724238,-7.0,Withdrawal,Miscellaneous,"This transaction is a payment made through PayNow-UEN to QFPAY SINGAPORE. The specific purpose of the payment is not clear, hence it is categorized as Miscellaneous."
2024-08-27,CREDIT PURCHASE USD 20.00 24/08/24 xx-6017 OPENAI *CHATGPT SUBSCR H,-27.09,Withdrawal,Bills,"This is a payment for a subscription service, specifically for the OpenAI ChatGPT."
2024-08-27,NETS QR 23016847 NETS QR PURCHASE GREENS & GRAINS,-6.8,Withdrawal,Groceries,Purchase of groceries from Greens & Grains using NETS QR.
2024-08-27,GIRO - SALARY SALA SINGAPORE PRODUCTIV Salary GIRO Transaction,874.27,Deposit,Income,This is a salary payment received via GIRO transfer.
2024-08-27,NETS QR 88891401 NETS QR PURCHASE STALL 8,-7.3,Withdrawal,Food,"This is a payment for a purchase made at Stall 8, likely for food, using NETS QR."
2024-08-28,FAST PAYMENT via PayNow-Mobile to Azman OTHR - OTHR,-22.9,Withdrawal,Transfers,This transaction is a fast payment made to Azman via PayNow-Mobile.
2024-08-28,NETS QR 49665501 NETS QR PURCHASE SNACKS AND FRIED KUAY TEO,-5.6,Withdrawal,Food,Payment for snacks and fried Kuay Teo via NETS QR.
2024-08-29,FUND TRANSFER via PayNow-Mobile from TEH ZI-CHUN OTHR - OTHR,11.5,Deposit,Transfers,This is a fund transfer received via PayNow-Mobile from TEH ZI-CHUN.
2024-08-29,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000019767724241,-9.1,Withdrawal,Miscellaneous,"This transaction represents a payment made via PayNow-UEN to QFPAY SINGAPORE, which doesn't fall under any specific category, hence it is labeled as miscellaneous."
2024-08-29,FAST PAYMENT via PayNow-UEN to QFPAY SINGAPORE OTHR - 2000102967724242,-5.5,Withdrawal,Miscellaneous,"This transaction represents a payment made through PayNow-UEN to QFPAY SINGAPORE, which doesn't fall under any specific category."
2024-08-29,NETS QR 88891601 NETS QR PURCHASE STALL 10,-6.9,Withdrawal,Food,"This is a payment for food at Stall 10, made through NETS QR."
2024-08-30,CREDIT PURCHASE 28/08/24 xx-7885 CHEERS - COLLEGE AVE WESTS,-1.0,Withdrawal,Food,Payment for food at Cheers on College Ave Wests.
2024-09-01,INTEREST CREDIT,1.79,Deposit,Income,This is an interest payment credited to the account.
2023-06-01,DEBIT PURCHASE 30/05/23 xx-0411 MCDONALD'S (PS) S,-14.95,Withdrawal,Food,Payment for a meal at McDonald's.
2023-06-01,CREDIT PURCHASE 30/05/23 xx-0411 EZ-LINK APP S,-20.0,Withdrawal,Transport,"This transaction is a withdrawal for a payment made through the EZ-Link app, which is typically used for public transportation services."
2023-06-01,PAYMENT/TRANSFER UOVB from WONG MEI YIN OTHR Study Allowance,500.0,Deposit,Income,This is a study allowance payment transferred from Wong Mei Yin.
